Vendor|CardName|AnnualFee|BenefitDescription|AdditionalDetails|BenefitCategory|TimeCategory|DollarValue|EnrollmentRequired|EffectiveDate|BenefitDescriptionShort|BenefitType|NumericValue
Chase|Chase Sapphire Preferred® Card|95|5x total points on travel purchased through Chase Travel|excludes hotel purchases that qualify for $50 credit|Travel|Permanent|N/A|False|2025-11-29|Chase Travel Bonus|Multiplier|5
Chase|Chase Sapphire Preferred® Card|95|3x points on dining online grocery purchases and select streaming services|including eligible delivery/takeout|Dining,Groceries,Streaming|Permanent|N/A|False|2025-11-29|Dining & More|Multiplier|3
Chase|Chase Sapphire Preferred® Card|95|2x points on all other travel purchases||Travel|Permanent|N/A|False|2025-11-29|Travel Bonus|Multiplier|2
Chase|Chase Sapphire Preferred® Card|95|1x points on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Earnings|Multiplier|1
Chase|Chase Sapphire Preferred® Card|95|$50 Annual Chase Travel Hotel Credit||Hotel|Annually (anniversary year)|50|False|2025-11-29|Hotel Credit|Credit|50
Chase|Chase Sapphire Preferred® Card|95|10% anniversary points bonus based on total purchases in prior account anniversary year||Anniversary Bonus|Annually (anniversary year)|N/A|False|2025-11-29|Anniversary Bonus|Bonus|10
Chase|Chase Sapphire Preferred® Card|95|Complimentary DashPass membership|activate by 12/31/2027|Delivery|Minimum 12 months from activation|120|False|2025-11-29|DashPass|Perk|N/A
American Express|American Express® Gold Card|325|4x Membership Rewards points at restaurants worldwide|up to $50,000 per calendar year then 1x|Dining|Permanent|N/A|False|2025-11-29|Restaurants Bonus|Multiplier|4
American Express|American Express® Gold Card|325|4x Membership Rewards points at U.S. supermarkets|up to $25,000 per calendar year then 1x|Groceries|Permanent|N/A|False|2025-11-29|Supermarkets Bonus|Multiplier|4
American Express|American Express® Gold Card|325|3x Membership Rewards points on flights booked directly with airlines or Amex Travel||Flights|Permanent|N/A|False|2025-11-29|Flights Bonus|Multiplier|3
American Express|American Express® Gold Card|325|$120 Uber Cash for U.S. rides & Uber Eats|$10 monthly|Rideshare,Food Delivery|Monthly|120|False|2025-11-29|Uber Cash|Credit|120
American Express|American Express® Gold Card|325|$120 Dining Credit|$10 monthly at Grubhub The Cheesecake Factory Goldbelly Wine.com Five Guys|Dining|Monthly|120|True|2025-11-29|Dining Credit|Credit|120
American Express|American Express® Gold Card|325|$100 Resy Credit|$50 semi-annually|Dining|Semi-annually|100|True|2025-11-29|Resy Credit|Credit|100
American Express|American Express® Gold Card|325|$84 Dunkin' Credit|$7 monthly|Dining|Monthly|84|True|2025-11-29|Dunkin Credit|Credit|84
American Express|American Express® Gold Card|325|$100 Hotel Collection Credit on qualifying 2-night minimum stays via Amex Travel||Hotel|Per qualifying stay|100|False|2025-11-29|Hotel Credit|Credit|100
Capital One|Capital One Venture X Rewards Credit Card|395|10x miles on hotels & rental cars booked through Capital One Travel||Hotel,Rental Cars|Permanent|N/A|False|2025-11-29|Portal Hotels|Multiplier|10
Capital One|Capital One Venture X Rewards Credit Card|395|5x miles on flights & vacation rentals booked through Capital One Travel||Flights,Vacation Rentals|Permanent|N/A|False|2025-11-29|Portal Flights|Multiplier|5
Capital One|Capital One Venture X Rewards Credit Card|395|2x miles on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Miles|Multiplier|2
Capital One|Capital One Venture X Rewards Credit Card|395|$300 annual travel credit for bookings through Capital One Travel||Travel|Annually (anniversary year)|300|False|2025-11-29|Travel Credit|Credit|300
Capital One|Capital One Venture X Rewards Credit Card|395|10,000 anniversary bonus miles each account anniversary||Anniversary Bonus|Annually (anniversary year)|100|False|2025-11-29|Anniversary Miles|Bonus|10000
Capital One|Capital One Venture X Rewards Credit Card|395|Unlimited Capital One Lounge & Priority Pass lounge access|+2 guests free|Lounge Access|Permanent|N/A|False|2025-11-29|Lounge Access|Access|N/A
Capital One|Capital One Venture X Rewards Credit Card|395|Global Entry or TSA PreCheck application fee credit|up to $120|Travel Security|Every 4 years|120|False|2025-11-29|TSA Credit|Credit|120
Capital One|Capital One Venture X Rewards Credit Card|395|Hertz President's Circle elite status|enrollment required|Rental Cars|Permanent|N/A|True|2025-11-29|Hertz Status|Status|N/A
Chase|Chase Freedom Unlimited®|0|5% cash back on travel purchased through Chase Travel||Travel|Permanent|N/A|False|2025-11-29|Chase Travel Bonus|Cashback|5
Chase|Chase Freedom Unlimited®|0|3% cash back on dining and drugstore purchases|including takeout & eligible delivery|Dining,Drugstores|Permanent|N/A|False|2025-11-29|Dining Bonus|Cashback|3
Chase|Chase Freedom Unlimited®|0|1.5% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1.5
Chase|Chase Freedom Unlimited®|0|Complimentary DashPass membership|activate by 12/31/2027|Delivery|Minimum 12 months from activation|120|False|2025-11-29|DashPass|Perk|N/A
Wells Fargo|Wells Fargo Active Cash® Card|0|Unlimited 2% cash rewards on all purchases||All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|2
Wells Fargo|Wells Fargo Active Cash® Card|0|Cell phone protection when bill paid with card|up to $600 per claim $25 deductible|Cell Phone Protection|Permanent (per claim)|600|False|2025-11-29|Phone Protection|Protection|600
American Express|Blue Cash Preferred® Card from American Express|95|6% cash back at U.S. supermarkets|up to $6,000 per calendar year then 1%|Groceries|Permanent|N/A|False|2025-11-29|Supermarkets Bonus|Cashback|6
American Express|Blue Cash Preferred® Card from American Express|95|6% cash back on select U.S. streaming subscriptions||Streaming|Permanent|N/A|False|2025-11-29|Streaming Bonus|Cashback|6
American Express|Blue Cash Preferred® Card from American Express|95|3% cash back at U.S. gas stations and on transit||Gas,Transit|Permanent|N/A|False|2025-11-29|Gas & Transit|Cashback|3
American Express|Blue Cash Preferred® Card from American Express|95|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
American Express|Blue Cash Preferred® Card from American Express|95|$120 Disney Bundle Credit|$10 monthly for enrolled bundle subscription|Streaming|Monthly|120|False|2025-11-29|Disney Credit|Credit|120
Citi|Citi Double Cash® Card|0|2% cash back on all purchases|1% when you buy + 1% when you pay|All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|2
Capital One|Capital One Venture Rewards Credit Card|95|5x miles on hotels vacation rentals & rental cars booked through Capital One Travel||Hotel,Vacation Rentals,Rental Cars|Permanent|N/A|False|2025-11-29|Portal Hotels|Multiplier|5
Capital One|Capital One Venture Rewards Credit Card|95|2x miles on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Miles|Multiplier|2
Capital One|Capital One Venture Rewards Credit Card|95|Global Entry or TSA PreCheck application fee credit|up to $120|Travel Security|Every 4 years|120|False|2025-11-29|TSA Credit|Credit|120
Chase|Chase Sapphire Reserve®|795|10x points on hotels & car rentals through Chase Travel|after $300 credit exhausted|Hotel,Rental Cars|Permanent|N/A|False|2025-11-29|Portal Hotels|Multiplier|10
Chase|Chase Sapphire Reserve®|795|8x points on other Chase Travel purchases|after $300 credit|Travel|Permanent|N/A|False|2025-11-29|Chase Travel Bonus|Multiplier|8
Chase|Chase Sapphire Reserve®|795|3x points on dining & all other travel worldwide||Dining,Travel|Permanent|N/A|False|2025-11-29|Dining & Travel|Multiplier|3
Chase|Chase Sapphire Reserve®|795|$300 Annual Travel Credit|any travel purchase|Travel|Annually (anniversary year)|300|False|2025-11-29|Travel Credit|Credit|300
Chase|Chase Sapphire Reserve®|795|$500 The Edit hotel credit|$250 semi-annually on 2-night min prepaid stays|Hotel|Semi-annually (calendar year)|500|False|2025-11-29|Edit Hotel Credit|Credit|500
Chase|Chase Sapphire Reserve®|795|$300 Sapphire Exclusive Tables dining credit|$150 semi-annually|Dining|Semi-annually (calendar year)|300|False|2025-11-29|Tables Credit|Credit|300
Chase|Chase Sapphire Reserve®|795|Priority Pass Select unlimited + Chase Sapphire Lounge unlimited|+2 guests|Lounge Access|Permanent|469|False|2025-11-29|Lounge Access|Access|469
Chase|Chase Sapphire Reserve®|795|Global Entry/TSA PreCheck/NEXUS fee credit|up to $120|Travel Security|Every 4 years|120|False|2025-11-29|TSA Credit|Credit|120
American Express|American Express Platinum Card®|895|5x Membership Rewards points on flights booked directly or via Amex Travel & prepaid hotels via Amex Travel|up to $500,000/calendar year|Flights,Hotel|Permanent|N/A|False|2025-11-29|Flights & Hotels|Multiplier|5
American Express|American Express Platinum Card®|895|$200 Airline Fee Credit|selected airline|Airline|Annually (calendar year)|200|True|2025-11-29|Airline Credit|Credit|200
American Express|American Express Platinum Card®|895|$600 Hotel Credit on prepaid Fine Hotels + Resorts or The Hotel Collection|$300 semi-annually|Hotel|Semi-annually|600|False|2025-11-29|Hotel Credit|Credit|600
American Express|American Express Platinum Card®|895|$209 CLEAR® Plus Credit||Travel Security|Annually (calendar year)|209|True|2025-11-29|CLEAR Credit|Credit|209
American Express|American Express Platinum Card®|895|$200 Uber Cash|$15 monthly + $20 bonus December|Rideshare,Food Delivery|Monthly|200|False|2025-11-29|Uber Cash|Credit|200
American Express|American Express Platinum Card®|895|$300 Digital Entertainment Credit|$25 monthly|Streaming,Entertainment|Monthly|300|True|2025-11-29|Entertainment Credit|Credit|300
American Express|American Express Platinum Card®|895|$400 Resy Credit|$100 quarterly|Dining|Quarterly|400|True|2025-11-29|Resy Credit|Credit|400
American Express|American Express Platinum Card®|895|$300 lululemon Credit|$75 quarterly|Shopping,Fitness|Quarterly|300|True|2025-11-29|lululemon Credit|Credit|300
American Express|American Express Platinum Card®|895|$155 Walmart+ monthly membership credit|plus tax|Shopping|Monthly|155|False|2025-11-29|Walmart+ Credit|Credit|155
American Express|American Express Platinum Card®|895|$100 Saks Fifth Avenue credit|$50 semi-annually|Shopping|Semi-annually|100|True|2025-11-29|Saks Credit|Credit|100
American Express|American Express Platinum Card®|895|$300 Equinox Credit||Fitness|Annually (calendar year)|300|True|2025-11-29|Equinox Credit|Credit|300
American Express|American Express Platinum Card®|895|$200 Oura Ring Credit||Fitness,Wellness|Annually (calendar year)|200|True|2025-11-29|Oura Credit|Credit|200
Chase|Prime Visa|0|5% back at Amazon.com Amazon Fresh Whole Foods Market & Chase Travel|with eligible Prime membership|Groceries,Shopping,Amazon|Permanent|N/A|False|2025-11-29|Amazon Bonus|Cashback|5
Chase|Prime Visa|0|10% back or more on rotating Amazon categories/items||Shopping,Amazon|Permanent (rotating)|N/A|False|2025-11-29|Rotating Amazon|Cashback|10
Chase|Prime Visa|0|2% back at gas stations restaurants local transit/commuting||Gas,Dining,Transit|Permanent|N/A|False|2025-11-29|Gas & Dining|Cashback|2
Chase|Prime Visa|0|1% back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Discover|Discover it® Cash Back|0|5% cash back in rotating quarterly categories|up to $1,500 per quarter upon activation|Rotating Categories|Quarterly|N/A|False|2025-11-29|Rotating Bonus|Cashback|5
Discover|Discover it® Cash Back|0|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Wells Fargo|Wells Fargo Reflect® Card|0|Cell phone protection when bill paid with card|up to $600 per claim $25 deductible|Cell Phone Protection|Permanent (per claim)|600|False|2025-11-29|Phone Protection|Protection|600
Capital One|Capital One Savor Cash Rewards Credit Card|95|Unlimited 3% cash back on dining entertainment popular streaming services & grocery stores|excluding superstores|Dining,Entertainment,Streaming,Groceries|Permanent|N/A|False|2025-11-29|Dining & More|Cashback|3
Capital One|Capital One Savor Cash Rewards Credit Card|95|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Chase|Chase Freedom Flex®|0|5% cash back on quarterly rotating categories|up to $1,500 upon activation|Rotating Categories|Quarterly|N/A|False|2025-11-29|Rotating Bonus|Cashback|5
Chase|Chase Freedom Flex®|0|5% cash back on travel through Chase Travel||Travel|Permanent|N/A|False|2025-11-29|Chase Travel Bonus|Cashback|5
Chase|Chase Freedom Flex®|0|3% cash back on dining & drugstore purchases||Dining,Drugstores|Permanent|N/A|False|2025-11-29|Dining Bonus|Cashback|3
Chase|Chase Freedom Flex®|0|Complimentary DashPass membership|activate by 12/31/2027|Delivery|Minimum 12 months from activation|120|False|2025-11-29|DashPass|Perk|N/A
Citi|Citi Strata Premier® Card|95|10x ThankYou points on hotels car rentals & attractions through CitiTravel.com||Hotel,Rental Cars,Attractions|Permanent|N/A|False|2025-11-29|Portal Bonus|Multiplier|10
Citi|Citi Strata Premier® Card|95|3x ThankYou points on air travel gas/EV charging restaurants supermarkets & hotels||Flights,Gas,Dining,Groceries,Hotel|Permanent|N/A|False|2025-11-29|Bonus Categories|Multiplier|3
Citi|Citi Strata Premier® Card|95|$100 annual hotel savings benefit on $500+ single stay through CitiTravel.com||Hotel|Annually (calendar year)|100|False|2025-11-29|Hotel Savings|Credit|100
American Express|Blue Cash Everyday® Card from American Express|0|3% cash back at U.S. supermarkets|up to $6,000 per calendar year then 1%|Groceries|Permanent|N/A|False|2025-11-29|Supermarkets Bonus|Cashback|3
American Express|Blue Cash Everyday® Card from American Express|0|3% cash back on U.S. online retail purchases|up to $6,000 per calendar year then 1%|Online Shopping|Permanent|N/A|False|2025-11-29|Online Retail|Cashback|3
American Express|Blue Cash Everyday® Card from American Express|0|3% cash back at U.S. gas stations|up to $6,000 per calendar year then 1%|Gas|Permanent|N/A|False|2025-11-29|Gas Bonus|Cashback|3
American Express|Blue Cash Everyday® Card from American Express|0|$84 Disney Bundle Credit|$7 monthly for enrolled bundle|Streaming|Monthly|84|True|2025-11-29|Disney Credit|Credit|84
Capital One|Capital One Quicksilver Cash Rewards Credit Card|0|Unlimited 1.5% cash back on every purchase||All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|1.5
Capital One|Capital One Quicksilver Cash Rewards Credit Card|0|5% cash back on hotels & rental cars booked through Capital One Travel||Hotel,Rental Cars|Permanent|N/A|False|2025-11-29|Portal Hotels|Cashback|5
Chase|United℠ Explorer Card|95|2 miles per $1 on United purchases dining and direct hotel bookings|including delivery|Airline,Dining,Hotel|Permanent|N/A|False|2025-11-29|United Bonus|Multiplier|2
Chase|United℠ Explorer Card|95|Free first checked bag for cardholder + 1 companion on United flights|terms apply|Airline|Permanent|N/A|False|2025-11-29|Free Bag|Perk|N/A
Chase|United℠ Explorer Card|95|Priority boarding on United flights||Airline|Permanent|N/A|False|2025-11-29|Priority Boarding|Perk|N/A
Chase|United℠ Explorer Card|95|2 United Club one-time passes each cardmember anniversary||Lounge Access|Annually (anniversary year)|N/A|False|2025-11-29|Club Passes|Perk|2
Chase|United℠ Explorer Card|95|Global Entry/TSA PreCheck/NEXUS fee credit|up to $120|Travel Security|Every 4 years|120|False|2025-11-29|TSA Credit|Credit|120
Chase|United℠ Explorer Card|95|25% back on United inflight & Club premium drink purchases||Airline|Permanent|N/A|False|2025-11-29|Inflight Savings|Savings|25
Chase|Marriott Bonvoy Boundless® Credit Card|95|Up to 17x total points at Marriott Bonvoy hotels||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|17
Chase|Marriott Bonvoy Boundless® Credit Card|95|Free Night Award each cardmember anniversary|up to 35,000 points|Hotel|Annually (anniversary year)|N/A|False|2025-11-29|Free Night|Free Night|35000
Chase|Marriott Bonvoy Boundless® Credit Card|95|15 Elite Night Credits annually||Hotel Status|Permanent (calendar year)|N/A|False|2025-11-29|Elite Credits|Bonus|15
American Express|Delta SkyMiles® Platinum American Express Card|350|3x miles on Delta purchases & direct hotel bookings||Airline,Hotel|Permanent|N/A|False|2025-11-29|Delta & Hotels|Multiplier|3
American Express|Delta SkyMiles® Platinum American Express Card|350|$120 Resy Credit $120 Rideshare Credit $150 Delta Stays Credit||Dining,Rideshare,Hotel|Various|N/A|True|2025-11-29|Bonus Credits|Credit|150
American Express|Delta SkyMiles® Platinum American Express Card|350|Annual Companion Certificate|Main Cabin domestic/round-trip|Airline|Annually (renewal)|N/A|False|2025-11-29|Companion Certificate|Perk|N/A
American Express|Delta SkyMiles® Platinum American Express Card|350|Global Entry/TSA PreCheck credit||Travel Security|Every 4-4.5 years|120|False|2025-11-29|TSA Credit|Credit|120
American Express|Hilton Honors American Express Surpass® Card|150|14x Hilton Honors points at Hilton properties||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|14
American Express|Hilton Honors American Express Surpass® Card|150|Hilton Honors Gold status||Hotel Status|Permanent|N/A|True|2025-11-29|Gold Status|Status|N/A
American Express|Hilton Honors American Express Surpass® Card|150|$200 Hilton credit|$50 quarterly|Hotel|Quarterly|200|False|2025-11-29|Hilton Credit|Credit|200
American Express|Hilton Honors American Express Surpass® Card|150|Free Night Reward after $15,000 spend in calendar year||Hotel|Calendar year|N/A|False|2025-11-29|Free Night|Perk|N/A
Chase|Southwest Rapid Rewards® Priority Credit Card|149|7,500 anniversary bonus points each year||Anniversary Bonus|Annually (anniversary year)|N/A|False|2025-11-29|Anniversary Points|Bonus|7500
Chase|Southwest Rapid Rewards® Priority Credit Card|149|$75 annual Southwest travel credit||Airline|Annually (calendar year)|75|False|2025-11-29|Southwest Credit|Credit|75
Chase|Southwest Rapid Rewards® Priority Credit Card|149|4 Upgraded Boardings per year|when available|Airline|Per year|N/A|False|2025-11-29|Upgraded Boardings|Perk|4
Chase|Southwest Rapid Rewards® Priority Credit Card|149|25% back on inflight purchases||Airline|Permanent|N/A|False|2025-11-29|Inflight Savings|Savings|25
Discover|Discover it® Miles|0|Unlimited 1.5 miles per $1 on all purchases||All Purchases|Permanent|N/A|False|2025-11-29|Flat Miles|Multiplier|1.5
Capital One|Capital One VentureOne Rewards Credit Card|0|5x miles on hotels & rental cars through Capital One Travel||Hotel,Rental Cars|Permanent|N/A|False|2025-11-29|Portal Hotels|Multiplier|5
Capital One|Capital One VentureOne Rewards Credit Card|0|1.25x miles on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Miles|Multiplier|1.25
Chase|IHG One Rewards Premier Credit Card|99|Up to 26x total points at IHG hotels||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|26
Chase|IHG One Rewards Premier Credit Card|99|Anniversary Free Night Award|up to 40,000 points|Hotel|Annually (anniversary year)|N/A|False|2025-11-29|Free Night|Free Night|40000
Chase|IHG One Rewards Premier Credit Card|99|$100 statement credit + 10,000 points after $20,000 spend annually||Hotel|Calendar year|N/A|False|2025-11-29|Spend Bonus|Bonus|10000
Chase|IHG One Rewards Premier Credit Card|99|Global Entry/TSA PreCheck credit||Travel Security|Every 4 years|120|False|2025-11-29|TSA Credit|Credit|120
Chase|IHG One Rewards Premier Credit Card|99|Platinum Elite status||Hotel Status|Permanent|N/A|False|2025-11-29|Platinum Status|Status|N/A
American Express|American Express® Green Card|150|3x Membership Rewards points on travel & transit||Travel,Transit|Permanent|N/A|False|2025-11-29|Travel & Transit|Multiplier|3
American Express|American Express® Green Card|150|$189 CLEAR Plus Credit||Travel Security|Annually (calendar year)|189|True|2025-11-29|CLEAR Credit|Credit|189
American Express|American Express® Green Card|150|$100 LoungeBuddy credit||Lounge Access|Annually (calendar year)|100|False|2025-11-29|LoungeBuddy Credit|Credit|100
Chase|United Quest℠ Card|250|Free first & second checked bag on United flights|terms apply|Airline|Permanent|N/A|False|2025-11-29|Free Bags|Perk|N/A
Chase|United Quest℠ Card|250|$125 annual United purchase credit||Airline|Annually (calendar year)|125|False|2025-11-29|United Credit|Credit|125
Chase|United Quest℠ Card|250|Up to 10,000-mile award flight discount|twice per year|Airline|Calendar year|N/A|False|2025-11-29|Award Discount|Bonus|10000
Citi|Citi Simplicity® Card|0|No late fees no penalty rate no annual fee||Card Protection|Permanent|N/A|False|2025-11-29|No Fees|Perk|N/A
Discover|Discover it® Chrome|0|2% cash back at gas stations & restaurants|up to $1,000 quarterly then 1%|Gas,Dining|Quarterly|N/A|False|2025-11-29|Gas & Dining|Cashback|2
Discover|Discover it® Chrome|0|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Chase|The World of Hyatt Credit Card|95|Up to 9x total points at Hyatt properties||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|9
Chase|The World of Hyatt Credit Card|95|Anniversary Free Night Award|Category 1-4|Hotel|Annually (anniversary year)|N/A|False|2025-11-29|Free Night|Perk|N/A
Chase|The World of Hyatt Credit Card|95|Additional Free Night Award after $15,000 spend annually||Hotel|Calendar year|N/A|False|2025-11-29|Spend Free Night|Perk|N/A
Chase|The World of Hyatt Credit Card|95|Discoverist status||Hotel Status|Permanent|N/A|False|2025-11-29|Discoverist Status|Status|N/A
Capital One|Capital One QuicksilverOne Cash Rewards Credit Card|39|Unlimited 1.5% cash back on every purchase||All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|1.5
American Express|Marriott Bonvoy Brilliant® American Express® Card|650|6x Marriott Bonvoy points at Marriott hotels||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|6
American Express|Marriott Bonvoy Brilliant® American Express® Card|650|Platinum Elite status||Hotel Status|Permanent|N/A|False|2025-11-29|Platinum Status|Status|N/A
American Express|Marriott Bonvoy Brilliant® American Express® Card|650|$300 Marriott dining statement credit|up to $25 monthly|Dining,Hotel|Monthly|300|False|2025-11-29|Marriott Dining|Credit|300
American Express|Marriott Bonvoy Brilliant® American Express® Card|650|85,000-point Free Night Award annually after renewal||Hotel|Annually (anniversary year)|N/A|False|2025-11-29|Free Night|Free Night|85000
American Express|Delta SkyMiles® Reserve American Express Card|650|4x miles on Delta purchases||Airline|Permanent|N/A|False|2025-11-29|Delta Bonus|Multiplier|4
American Express|Delta SkyMiles® Reserve American Express Card|650|Annual Companion Certificate|First Class/Comfort+/Main Cabin|Airline|Annually (renewal)|N/A|False|2025-11-29|Companion Certificate|Perk|N/A
American Express|Delta SkyMiles® Reserve American Express Card|650|Delta Sky Club access|15 visits per year; unlimited after $75,000 spend|Lounge Access|Permanent (Medallion year)|N/A|False|2025-11-29|Sky Club Access|Access|15
American Express|Hilton Honors Aspire Card from American Express|550|14x Hilton Honors points at Hilton properties||Hotel|Permanent|N/A|False|2025-11-29|Hotel Points|Multiplier|14
American Express|Hilton Honors Aspire Card from American Express|550|Diamond status||Hotel Status|Permanent|N/A|False|2025-11-29|Diamond Status|Status|N/A
American Express|Hilton Honors Aspire Card from American Express|550|$250 Hilton resort credit||Hotel|Annually (calendar year)|250|False|2025-11-29|Resort Credit|Credit|250
American Express|Hilton Honors Aspire Card from American Express|550|$250 airline fee credit||Airline|Annually (calendar year)|250|False|2025-11-29|Airline Credit|Credit|250
