Vendor|CardName|EffectiveDate|Terms|SignUpBonusValue|Currency
Chase|Chase Sapphire Preferred® Card|N/A|Spend $5000 in 3 months|75000|points
Chase|Chase Sapphire Reserve®|N/A|Spend $6000 in 3 months|125000|points
Chase|Chase Freedom Unlimited®|N/A|Spend $500 in 3 months|200|Cash
Chase|Chase Freedom Flex®|N/A|Spend $500 in 3 months|200|Cash
Chase|Prime Visa|N/A|Approved with eligible Prime membership|200|Cash
Chase|Chase Sapphire Reserve®|N/A|Spend $6000 in 3 months|125000|points
Chase|United℠ Explorer Card|N/A|Spend $3000 in 3 months|70000|miles
Chase|Marriott Bonvoy Boundless® Credit Card|N/A|Spend $3000 in 3 months + additional spend for full|150000|points
Chase|Southwest Rapid Rewards® Priority Credit Card|N/A|Spend $3000 in 3 months|85000|points
Chase|IHG One Rewards Premier Credit Card|N/A|Spend $3000 in 3 months|140000|points
Chase|The World of Hyatt Credit Card|N/A|Spend $3000 in 3 months + additional spend|45000|points
Chase|United Quest℠ Card|N/A|Spend $4000 in 3 months|70000|miles
Chase|United Club℠ Card|N/A|Spend $5000 in 3 months|90000|miles
Chase|Aeroplan® Credit Card|2025-12-02|Spend $4000 in 3 months + additional|120000|points
Chase|British Airways Visa Signature® Card|N/A|Spend $7500 in 6 months|100000|miles
American Express|American Express® Gold Card|N/A|Spend $6000 in 6 months|100000|points
American Express|American Express Platinum Card®|N/A|Spend $8000 in 6 months|175000|points
American Express|Blue Cash Preferred® Card from American Express|N/A|Spend $3000 in 6 months|250|Cash
American Express|Blue Cash Everyday® Card from American Express|N/A|Spend $2000 in 6 months|200|Cash
American Express|Delta SkyMiles® Platinum American Express Card|N/A|Spend $3000 in 6 months|60000|miles
American Express|Hilton Honors American Express Surpass® Card|2026-01-14|Spend $3000 in 6 months|155000|points
American Express|American Express® Green Card|N/A|Spend $3000 in 6 months|40000|points
American Express|Marriott Bonvoy Brilliant® American Express® Card|N/A|Spend $6000 in 6 months|100000|points
American Express|Delta SkyMiles® Reserve American Express Card|N/A|Spend $5000 in 6 months|70000|miles
American Express|Hilton Honors Aspire Card from American Express|2026-01-14|Spend $6000 in 6 months|175000|points
Capital One|Capital One Venture X Rewards Credit Card|N/A|Spend $10000 in 6 months|100000|miles
Capital One|Capital One Venture Rewards Credit Card|N/A|Spend $4000 in 3 months|75000|miles
Capital One|Capital One Savor Cash Rewards Credit Card|N/A|Spend $500 in 3 months|200|Cash
Capital One|Capital One Quicksilver Cash Rewards Credit Card|N/A|Spend $500 in 3 months|200|Cash
Capital One|Capital One VentureOne Rewards Credit Card|N/A|Spend $500 in 3 months|20000|miles
Capital One|Capital One QuicksilverOne Cash Rewards Credit Card|N/A|Spend $500 in 3 months|200|Cash
Citi|Citi Double Cash® Card|N/A|No welcome bonus|0|Cash
Citi|Citi Strata Premier® Card|N/A|Spend $6000 in 3 months|100000|points
Citi|Citi Custom Cash® Card|N/A|Spend $1500 in 6 months|200|Cash
Wells Fargo|Wells Fargo Active Cash® Card|N/A|Spend $500 in 3 months|200|Cash
Wells Fargo|Wells Fargo Autograph® Card|N/A|Spend $1000 in 3 months|20000|points
Discover|Discover it® Cash Back|N/A|First year cashback match|0|Cash
Discover|Discover it® Miles|N/A|First year mile match|0|miles
Discover|Discover it® Chrome|N/A|First year cashback match|0|Cash
Goldman Sachs|Apple Card|N/A|No welcome bonus|0|Cash
U.S. Bank|U.S. Bank Altitude® Reserve Visa Infinite® Card|N/A|Spend $4500 in 90 days|50000|points
U.S. Bank|U.S. Bank Altitude® Connect Visa Signature® Card|N/A|Spend $2000 in 120 days|50000|points
Bank of America|Bank of America® Premium Rewards® Credit Card|N/A|Spend $4000 in 90 days|60000|points
Bank of America|Bank of America® Travel Rewards Credit Card|N/A|Spend $1000 in 90 days|25000|points
Synchrony|Amazon Prime Store Card|N/A|Approved with Prime|100|Cash
Synchrony|Best Buy® Credit Card|N/A|No welcome bonus|0|Cash
PenFed|PenFed Pathfinder® Rewards Visa Signature® Card|N/A|No welcome bonus|0|points
Wells Fargo|Bilt Mastercard|N/A|No public sign up bonus or welcome offer|0|points
Chase|Ink Business Preferred® Credit Card|2025-12-07|Spend $8,000 in 3 months|100000|points
Chase|Ink Business Premier® Credit Card|2025-12-07|Spend $10,000 in 3 months|1000|Cash
American Express|The Business Platinum Card® from American Express|2025-12-07|Spend $20,000 in 3 months|200000|points
American Express|American Express® Business Gold Card|2025-12-07|Spend $15,000 in 3 months|100000|points
American Express|Blue Business® Plus Credit Card from American Express|2025-12-07|Spend $3,000 in 3 months|15000|points
American Express|Blue Business Cash™ Card from American Express|2025-12-07|Spend $3,000 in 3 months|250|Cash
Capital One|Capital One Spark Cash Plus|2025-12-07|Spend $30,000 in 3 months (+ additional $2,000 for every $500,000 spent in first year)|2000|Cash
Capital One|Capital One Spark Miles for Business|2025-12-07|Spend $4,500 in 3 months|50000|miles